text,label,clean_text
Sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi Aj aur aj bi sirf Aus say bus,Positive,sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi aj aur aj bi sirf aus say bus
sahi bt h,Positive,sahi bt h
"Kya bt hai,",Positive,kya bt hai
Wah je wah,Positive,wah je wah
Are wha kaya bat hai,Positive,are wha kaya bat hai
Wah kya baat likhi,Positive,wah kya baat likhi
Wha Itni sari khubiya,Positive,wha itni sari khubiya
Itni khubiya,Positive,itni khubiya
Ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,Positive,ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen
Please Everyone AllAh S.w.T ka naam hAmesha Bary Lawzo main Likha kary Wo he Zaat sUb say Bari Hey,Positive,please everyone allah s w t ka naam hamesha bary lawzo main likha kary wo he zaat sub say bari hey
Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,Positive,ya mere rab tu bra kreem hy is mulk k halat pr reham frma is watn e aziz ki hifazat frma amin
jaago Pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago Pakistan key logo,Positive,jaago pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago pakistan key logo
kia kia jae .kon sacha ha ALLAH JANY .PAK KESE BDL SAKTA HA I THINK 7 NSL TO ASE E GUZR JAIN GI BD ME koi hua to pta ni,Positive,kia kia jae kon sacha ha allah jany pak kese bdl sakta ha i think nsl to ase e guzr jain gi bd me koi hua to pta ni
afsos hota hai garip insan kha jay Allah ki lati me awaz hai jo zulum kry ga Allah ki lati pary gi,Positive,afsos hota hai garip insan kha jay allah ki lati me awaz hai jo zulum kry ga allah ki lati pary gi
Allah insaaf karey,Positive,allah insaaf karey
ALLAH MUSALMAN PHIR DOR E JAHALAT ME JARAHA H HIYADAY FARMA AESE LOGO KO JO AWAM KI ZINDGIYO KO AZAB BANA RAHY HAI INKO TO GARAK KARDY,Positive,allah musalman phir dor e jahalat me jaraha h hiyaday farma aese logo ko jo awam ki zindgiyo ko azab bana rahy hai inko to garak kardy
Je Thik Kaha Right,Positive,je thik kaha right
jee ye to he,Positive,jee ye to he
Maa cheez e ASE ha jis ka koi namil Badl Ni,Positive,maa cheez e ase ha jis ka koi namil badl ni
Wah wah yeh toh hy,Positive,wah wah yeh toh hy
Zenda bad yar,Positive,zenda bad yar
Es leay Muskurany ki koshish kia karo Es se wo loug ju apk Rouny pr muskuraty hain wo Loug phir apki hansi pe jalyn gy.,Positive,es leay muskurany ki koshish kia karo es se wo loug ju apk rouny pr muskuraty hain wo loug phir apki hansi pe jalyn gy
Wha bhut qoob,Positive,wha bhut qoob
"right
Or sada time same nahi rehtaaaaaa",Positive,right or sada time same nahi rehtaaaaaa
Wha wha kaya bat hai,Positive,wha wha kaya bat hai
