clean_text,label
ye to danish khan h,Neutral
hint ne pehla game sey jeeta magar minut tek chalne wale iss game sey andaza hone laga tha ke jahangir hathyar dalne ke mood mein nazar nahein ate minut ke taweel dauranya wale pehle game mein hi sala hint ko tawaqat sey zayada jaddo jahed karna pari thi,Positive
altaf hussain ki taraf say do tok alfaz samnay anay par aik dam sab kuch thanda par gaya aur wazeer e azam ki taraf say nro ko manzuri kay leye parliament mein pass na kar nay ka alan kar dia gaya,Negative
intikhab alam ke baqol baz khilari sochte the ke agar mein beron e mulk series jeet gaya to najane kia ban jaon ga,Negative
ager aap koi bat phochni ho ager koi bat smag mai nahi aarahi ho tu plz aam logo say mat phocho jawab tu mai bi day sakta hon lakin jawab ka haq sirf mufti ko ha ksi aalim say rabta kran warna aap ka hi nuqsan ho ga,Neutral
british open sey chand din pehle squash opoen ka ineqad hua jis mein champion miser ke mahmood alkareem bhi shirket ker rahe they mahmood guzashta char salon sey yeh tournament jeettey chale arahe they aur umeed yahi thi ke woh panchween martaba bhi kamyab lotein gein,Positive
maulana kausar niazi mianwali ke mardam khaiz khittey se talluq rakhte the jahan ki niazi baradari ke naamwar afraad maslan general a k niazi maulana abdul sattar khan niazi aur imraan khan niazi ki shohrat mein koi kalaam nahi lekin yeh sab he pur josh log apni zindagi ke mukhtalif adwaar mein shadeed tanqeed ka nishana bhi bane,Negative
yeh un ginti ke chand qabil tareen aur intehai honehaar naujawano mein se hain jin se mujhe milne ka mauqa mila hai,Positive
jo batcha abi paidaa hua ho uska fitrana b farz ha,Neutral
na wazoo ky fraiz ka elam ha aur na us ky wajbat ka,Negative
mai tu vote nahi donga jb tk desable person ko tarjeeh nahi dee jaati,Neutral
shukar hai phli baar suchi bt ki tuny,Positive
is pe mn pehle hi tuje tag kr chuki khar demag wali,Negative
edhi foundation ki shakhein tamam duniya mein pheli hoye hai,Positive
ye youth k laptop ki screen darmiyaan se hi kion kharab hoti hye,Negative
black wala haar gya ha q k wo pehly let gya ha or ra jit gya ha usny usko mar k gira ha ok,Neutral
bhegey honth choli key peechey and etc etc,Negative
mein se matchon mein team ki qayadat ke faraiz anjam deye,Neutral
nawaz sharif ko pakro harimi police walo tum logon ki again maa me land marey ye adnan,Negative
mobile py daily date wala aur wazaaef waly bhi nahi mil rahy plz kuch hal karen masley ka,Negative
is myn bus tu e hy,Neutral
hahahha,Neutral
nisar bazmi ki shurat agle do saal mein all india radio ke studios se nikal kar mumbai ke film studios mein pohanchi aur director a r zamindar ne unhen apni pheli film jamna paar ke gane compose karne ki peshkash ki,Neutral
wahan ke teachers ki raey thi ke bukhari ka ilm is qadar farakh aur wasee o baseet hai ke aik angrez ke liye bhi itna ilm is umar mein rakhna kam o besh na mumkin hai,Positive
genius book of world records ke mutabiq duniya bhar mein qawwali ke sab se ziyada album nusrat fateh ali khan ne release kiye gae,Neutral
gramo mou mang to mout nhe ati ya to phr zalmi hai or dil karey to rakh lena sawi dadi jo dil kary btta dna karchi vs zalmi me ya number h mera,Negative
wo aik tu wo murtadd dosra sari dunya mein na sirf zina karti phirti hea balkay media mein uss ki tashheer b karti hea,Negative
ho shukeriya ada ker rai hn aunti ka is mein na shukari wali kiya baat howi bala,Negative
insan koi asa kam kray jis say bnda daira islam say bahir ho jy to woh ni kerna chiy ye puja kis ki ho rai hy,Neutral
intikhab alam ne december ko hoshiarpur mein ankh kholi,Neutral
aik dharay ki call per aaj sheher me juzvi hartal jaari doosra next week hartal karay ga,Negative
jis mein afraad halaak aur zakhmi hue,Neutral
tmhari ami ko b,Positive
